act_name,case_id
a,1
h,1
g,1
q,1
l,1
i,1
s,1
m,1
n,1
e,1
b,1
t,1
r,1
f,1
j,1
a,2
g,2
q,2
h,2
l,2
i,2
s,2
m,2
c,2
n,2
p,2
o,2
e,2
b,2
t,2
r,2
f,2
j,2
a,3
g,3
q,3
h,3
l,3
i,3
c,3
m,3
s,3
p,3
o,3
n,3
e,3
b,3
t,3
r,3
f,3
j,3
a,4
h,4
g,4
q,4
l,4
i,4
c,4
o,4
p,4
e,4
t,4
b,4
r,4
f,4
j,4
a,5
h,5
g,5
q,5
l,5
i,5
m,5
s,5
n,5
e,5
t,5
b,5
r,5
f,5
j,5
a,6
g,6
h,6
q,6
l,6
i,6
c,6
p,6
o,6
e,6
t,6
b,6
r,6
f,6
j,6
a,7
g,7
q,7
h,7
l,7
i,7
s,7
m,7
c,7
n,7
o,7
p,7
e,7
b,7
t,7
r,7
f,7
j,7
a,8
h,8
g,8
q,8
l,8
i,8
c,8
m,8
o,8
s,8
p,8
n,8
e,8
t,8
b,8
r,8
f,8
j,8
a,9
g,9
h,9
q,9
l,9
i,9
s,9
c,9
m,9
p,9
o,9
n,9
e,9
t,9
b,9
r,9
k,9
j,9
a,10
g,10
q,10
h,10
l,10
i,10
m,10
c,10
s,10
o,10
n,10
p,10
e,10
t,10
b,10
r,10
f,10
j,10
a,11
h,11
g,11
q,11
l,11
i,11
s,11
m,11
n,11
e,11
b,11
t,11
r,11
f,11
j,11
a,12
h,12
g,12
q,12
l,12
i,12
s,12
m,12
n,12
c,12
p,12
o,12
e,12
b,12
t,12
r,12
k,12
j,12
a,13
g,13
h,13
q,13
l,13
i,13
m,13
s,13
n,13
e,13
b,13
t,13
r,13
f,13
j,13
a,14
h,14
g,14
q,14
l,14
i,14
m,14
s,14
n,14
c,14
p,14
o,14
e,14
b,14
t,14
r,14
f,14
j,14
a,15
g,15
h,15
q,15
l,15
i,15
m,15
s,15
c,15
o,15
n,15
p,15
e,15
b,15
t,15
r,15
f,15
j,15
a,16
h,16
g,16
q,16
l,16
i,16
s,16
m,16
c,16
n,16
p,16
o,16
e,16
t,16
b,16
r,16
k,16
j,16
a,17
g,17
h,17
q,17
l,17
i,17
c,17
m,17
p,17
s,17
o,17
n,17
e,17
b,17
t,17
r,17
f,17
j,17
a,18
g,18
h,18
q,18
l,18
i,18
m,18
s,18
n,18
e,18
t,18
b,18
r,18
f,18
j,18
a,19
h,19
g,19
q,19
l,19
i,19
c,19
o,19
s,19
m,19
p,19
n,19
e,19
b,19
t,19
r,19
f,19
j,19
a,20
h,20
g,20
q,20
l,20
i,20
c,20
m,20
p,20
s,20
o,20
n,20
d,20
b,20
t,20
r,20
k,20
j,20
a,21
g,21
h,21
q,21
l,21
i,21
c,21
p,21
o,21
e,21
b,21
t,21
r,21
f,21
j,21
a,22
h,22
g,22
q,22
l,22
i,22
m,22
c,22
o,22
p,22
s,22
n,22
e,22
b,22
t,22
r,22
f,22
j,22
a,23
h,23
g,23
q,23
l,23
i,23
c,23
s,23
m,23
o,23
p,23
n,23
e,23
t,23
b,23
r,23
k,23
j,23
a,24
h,24
g,24
q,24
l,24
i,24
s,24
m,24
n,24
e,24
b,24
t,24
r,24
f,24
j,24
a,25
g,25
h,25
q,25
l,25
i,25
s,25
c,25
m,25
p,25
n,25
o,25
e,25
t,25
b,25
r,25
f,25
j,25
a,26
g,26
h,26
q,26
l,26
i,26
c,26
p,26
o,26
e,26
b,26
t,26
r,26
f,26
j,26
a,27
h,27
g,27
q,27
l,27
i,27
c,27
p,27
o,27
e,27
b,27
t,27
r,27
f,27
j,27
a,28
h,28
g,28
q,28
l,28
i,28
c,28
o,28
p,28
e,28
t,28
b,28
r,28
f,28
j,28
a,29
h,29
g,29
q,29
l,29
i,29
s,29
m,29
c,29
n,29
p,29
o,29
e,29
b,29
t,29
r,29
k,29
j,29
a,30
g,30
h,30
q,30
l,30
i,30
s,30
m,30
n,30
e,30
t,30
b,30
r,30
f,30
j,30
a,31
h,31
g,31
q,31
l,31
i,31
s,31
c,31
p,31
m,31
o,31
n,31
e,31
b,31
t,31
r,31
f,31
j,31
a,32
h,32
g,32
q,32
l,32
i,32
m,32
s,32
n,32
e,32
b,32
t,32
r,32
f,32
j,32
a,33
g,33
h,33
q,33
l,33
i,33
s,33
m,33
c,33
n,33
o,33
p,33
d,33
b,33
t,33
r,33
k,33
j,33
a,34
h,34
g,34
q,34
l,34
i,34
m,34
s,34
n,34
e,34
b,34
t,34
r,34
f,34
j,34
a,35
h,35
g,35
q,35
l,35
i,35
c,35
o,35
p,35
e,35
t,35
b,35
r,35
f,35
j,35
a,36
h,36
g,36
q,36
l,36
i,36
s,36
c,36
m,36
o,36
n,36
p,36
e,36
b,36
t,36
r,36
f,36
j,36
a,37
g,37
q,37
l,37
h,37
i,37
c,37
p,37
o,37
e,37
b,37
t,37
r,37
f,37
j,37
a,38
g,38
h,38
q,38
l,38
i,38
c,38
o,38
p,38
e,38
t,38
b,38
r,38
f,38
j,38
a,39
g,39
q,39
l,39
h,39
i,39
c,39
p,39
o,39
e,39
t,39
b,39
r,39
f,39
j,39
a,40
g,40
h,40
q,40
l,40
i,40
s,40
m,40
n,40
e,40
t,40
b,40
r,40
f,40
j,40
a,41
h,41
g,41
q,41
l,41
i,41
m,41
s,41
n,41
e,41
t,41
b,41
r,41
f,41
j,41
a,42
h,42
g,42
q,42
l,42
i,42
m,42
s,42
n,42
e,42
b,42
t,42
r,42
f,42
j,42
a,43
h,43
g,43
q,43
l,43
i,43
c,43
m,43
s,43
p,43
o,43
n,43
e,43
t,43
b,43
r,43
f,43
j,43
a,44
h,44
g,44
q,44
l,44
i,44
c,44
p,44
o,44
e,44
b,44
t,44
r,44
f,44
j,44
a,45
g,45
h,45
q,45
l,45
i,45
c,45
s,45
o,45
m,45
p,45
n,45
d,45
b,45
t,45
r,45
k,45
j,45
a,46
h,46
g,46
q,46
l,46
i,46
m,46
s,46
n,46
e,46
t,46
b,46
r,46
f,46
j,46
a,47
g,47
h,47
q,47
l,47
i,47
s,47
m,47
n,47
e,47
t,47
b,47
r,47
f,47
j,47
a,48
h,48
g,48
q,48
l,48
i,48
m,48
s,48
n,48
e,48
t,48
b,48
r,48
f,48
j,48
a,49
g,49
q,49
h,49
l,49
i,49
m,49
s,49
n,49
c,49
p,49
o,49
e,49
b,49
t,49
r,49
f,49
j,49
a,50
h,50
g,50
q,50
l,50
i,50
c,50
o,50
p,50
e,50
t,50
b,50
r,50
f,50
j,50
a,51
h,51
g,51
q,51
l,51
i,51
s,51
m,51
n,51
e,51
t,51
b,51
r,51
f,51
j,51
a,52
h,52
g,52
q,52
l,52
i,52
m,52
s,52
n,52
e,52
t,52
b,52
r,52
f,52
j,52
a,53
h,53
g,53
q,53
l,53
i,53
m,53
s,53
n,53
e,53
t,53
b,53
r,53
f,53
j,53
a,54
h,54
g,54
q,54
l,54
i,54
s,54
m,54
n,54
e,54
t,54
b,54
r,54
k,54
j,54
a,55
h,55
g,55
q,55
l,55
i,55
c,55
o,55
p,55
e,55
t,55
b,55
r,55
f,55
j,55
a,56
h,56
g,56
q,56
l,56
i,56
m,56
s,56
c,56
p,56
n,56
o,56
e,56
b,56
t,56
r,56
f,56
j,56
a,57
g,57
q,57
h,57
l,57
i,57
m,57
c,57
s,57
o,57
n,57
p,57
e,57
b,57
t,57
r,57
f,57
j,57
a,58
h,58
g,58
q,58
l,58
i,58
m,58
s,58
n,58
e,58
t,58
b,58
r,58
f,58
j,58
a,59
g,59
q,59
h,59
l,59
i,59
s,59
m,59
n,59
d,59
t,59
b,59
r,59
k,59
j,59
a,60
g,60
q,60
h,60
l,60
i,60
s,60
c,60
m,60
n,60
p,60
o,60
e,60
b,60
t,60
r,60
f,60
j,60
a,61
g,61
h,61
q,61
l,61
i,61
m,61
s,61
c,61
p,61
o,61
n,61
e,61
t,61
b,61
r,61
f,61
j,61
a,62
g,62
q,62
h,62
l,62
i,62
c,62
m,62
p,62
s,62
o,62
n,62
d,62
b,62
t,62
r,62
k,62
j,62
a,63
g,63
h,63
q,63
l,63
i,63
s,63
m,63
n,63
e,63
t,63
b,63
r,63
f,63
j,63
a,64
g,64
h,64
q,64
l,64
i,64
m,64
s,64
n,64
c,64
p,64
o,64
e,64
b,64
t,64
r,64
f,64
j,64
a,65
g,65
h,65
q,65
l,65
i,65
m,65
s,65
c,65
n,65
o,65
p,65
e,65
t,65
b,65
r,65
f,65
j,65
a,66
g,66
h,66
q,66
l,66
i,66
s,66
m,66
n,66
e,66
b,66
t,66
r,66
f,66
j,66
a,67
g,67
h,67
q,67
l,67
i,67
c,67
p,67
o,67
e,67
t,67
b,67
r,67
f,67
j,67
a,68
h,68
g,68
q,68
l,68
i,68
s,68
m,68
n,68
e,68
b,68
t,68
r,68
f,68
j,68
a,69
g,69
q,69
h,69
l,69
i,69
s,69
m,69
n,69
e,69
t,69
b,69
r,69
k,69
j,69
a,70
h,70
g,70
q,70
l,70
i,70
m,70
s,70
c,70
p,70
o,70
n,70
e,70
t,70
b,70
r,70
f,70
j,70
a,71
g,71
h,71
q,71
l,71
i,71
m,71
c,71
s,71
o,71
p,71
n,71
e,71
t,71
b,71
r,71
f,71
j,71
a,72
g,72
h,72
q,72
l,72
i,72
c,72
s,72
o,72
p,72
m,72
n,72
e,72
t,72
b,72
r,72
f,72
j,72
a,73
g,73
h,73
q,73
l,73
i,73
s,73
m,73
n,73
e,73
b,73
t,73
r,73
f,73
j,73
a,74
h,74
g,74
q,74
l,74
i,74
m,74
s,74
c,74
p,74
n,74
o,74
e,74
b,74
t,74
r,74
k,74
j,74
a,75
g,75
h,75
q,75
l,75
i,75
c,75
m,75
s,75
n,75
o,75
p,75
e,75
b,75
t,75
r,75
k,75
j,75
a,76
g,76
h,76
q,76
l,76
i,76
s,76
m,76
n,76
e,76
b,76
t,76
r,76
k,76
j,76
a,77
g,77
h,77
q,77
l,77
i,77
c,77
p,77
o,77
e,77
b,77
t,77
r,77
f,77
j,77
a,78
g,78
q,78
h,78
l,78
i,78
c,78
m,78
o,78
s,78
p,78
n,78
e,78
b,78
t,78
r,78
f,78
j,78
a,79
h,79
g,79
q,79
l,79
i,79
c,79
s,79
m,79
p,79
n,79
o,79
e,79
t,79
b,79
r,79
k,79
j,79
a,80
h,80
g,80
q,80
l,80
i,80
m,80
c,80
s,80
o,80
p,80
n,80
e,80
b,80
t,80
r,80
f,80
j,80
a,81
h,81
g,81
q,81
l,81
i,81
m,81
s,81
c,81
p,81
o,81
n,81
e,81
b,81
t,81
r,81
f,81
j,81
a,82
g,82
h,82
q,82
l,82
i,82
s,82
m,82
n,82
e,82
t,82
b,82
r,82
f,82
j,82
a,83
h,83
g,83
q,83
l,83
i,83
m,83
s,83
n,83
e,83
t,83
b,83
r,83
f,83
j,83
a,84
g,84
h,84
q,84
l,84
i,84
c,84
p,84
o,84
m,84
s,84
n,84
e,84
b,84
t,84
r,84
f,84
j,84
a,85
g,85
h,85
q,85
l,85
i,85
s,85
c,85
m,85
o,85
p,85
n,85
d,85
t,85
b,85
r,85
k,85
j,85
a,86
h,86
g,86
q,86
l,86
i,86
m,86
c,86
o,86
s,86
p,86
n,86
e,86
b,86
t,86
r,86
f,86
j,86
a,87
g,87
h,87
q,87
l,87
i,87
c,87
p,87
o,87
e,87
b,87
t,87
r,87
k,87
j,87
a,88
g,88
q,88
h,88
l,88
i,88
m,88
s,88
c,88
p,88
n,88
o,88
e,88
t,88
b,88
r,88
f,88
j,88
a,89
h,89
g,89
q,89
l,89
i,89
c,89
p,89
o,89
m,89
s,89
n,89
e,89
t,89
b,89
r,89
f,89
j,89
a,90
h,90
g,90
q,90
l,90
i,90
c,90
s,90
o,90
m,90
n,90
p,90
e,90
b,90
t,90
r,90
f,90
j,90
a,91
h,91
g,91
q,91
l,91
i,91
s,91
m,91
n,91
e,91
b,91
t,91
r,91
f,91
j,91
a,92
h,92
g,92
q,92
l,92
i,92
c,92
s,92
m,92
p,92
o,92
n,92
e,92
b,92
t,92
r,92
k,92
j,92
a,93
h,93
g,93
q,93
l,93
i,93
s,93
c,93
m,93
n,93
p,93
o,93
e,93
t,93
b,93
r,93
f,93
j,93
a,94
h,94
g,94
q,94
l,94
i,94
c,94
